id;slope;cd_water;aspect;hill90;hill5;hill45;clc00;numpoints;target
21145;2.04332;0.0670085;7;254;24;181;313;0;0
21146;1.58553;0.0669582;8;254;25;182;313;0;0
21147;0.814938;0.0641289;8;254;25;182;112;0;0
21148;0.773995;0.0906472;1;254;24;182;313;1;1
21149;1.77983;0.070583;10;254;28;185;313;0;0
21150;2.75699;0;10;254;31;186;313;0;0
21151;3.30517;0.0753321;2;254;30;185;313;0;0
21152;3.66096;0;2;254;30;186;313;0;0
21153;4.28659;0.0885752;3;254;29;184;313;0;0
21154;4.46202;0.0831097;3;254;25;182;313;0;0
21155;3.86813;0;3;254;17;176;313;0;0
21156;2.33042;0;4;254;13;174;242;2;1
21157;1.17364;0;7;254;22;180;242;0;0
21158;6.19274;0.0968712;8;253;46;196;242;0;0
21159;9.36273;0.205859;9;251;63;207;242;0;0
21160;10.5745;0.287375;10;250;62;205;313;0;0
21161;11.7056;0.396278;9;249;69;210;313;0;0
21162;8.46755;0.159708;2;252;45;195;323;0;0
21163;6.13425;0;2;253;35;188;323;0;0
21164;5.83238;0;9;253;47;197;323;0;0
21165;2.33811;0.0959917;3;254;21;179;323;0;0
21166;4.22724;0.177347;5;254;3;166;313;0;0
21167;7.28818;0.263654;6;252;0;157;313;0;0
21168;10.2355;0.234985;5;250;0;146;313;0;0
21169;9.62603;0;5;251;0;148;323;0;0
21170;6.90945;0;5;253;0;157;523;0;0
21171;3.95972;0;5;254;0;168;523;0;0
21172;2.00662;0.0782539;6;254;0;174;523;0;0
21173;2.00456;0.535669;4;254;14;174;313;0;0
21174;2.56606;0.477335;5;254;11;172;313;0;0
21175;1.83374;0.407453;6;254;17;177;313;1;1
21176;2.39391;0.338275;6;254;13;174;313;0;0
21177;5.84197;0.282882;4;253;0;162;243;0;0
21178;4.59302;0.174061;4;254;0;166;313;0;0
21179;1.28607;0.0927379;6;254;16;176;221;0;0
21180;1.61884;0.0662637;8;254;26;183;312;0;0
21181;2.21284;0.0962154;8;254;30;186;312;0;0
21182;0.520113;0.131708;9;254;24;181;112;0;0
21183;1.18306;0.133079;8;254;26;183;221;0;0
21184;5.03245;0.189273;8;254;40;192;221;0;0
21185;7.53572;0.311097;8;252;50;199;313;0;0
21186;10.8714;0.514844;8;250;60;204;312;0;0
21187;7.51154;0.571986;8;252;49;198;312;0;0
21188;3.91075;0.588269;8;254;36;189;323;0;0
21189;2.83197;0.622336;7;254;19;178;323;0;0
21190;7.31654;0.620976;5;252;0;156;323;0;0
21191;6.6396;0.515738;6;253;0;165;313;0;0
